Episode,Reward,Pre,True,Probabilities,Steps
0.0,200.0,0.0,0.0,0.0015275490004569292,200.0
1.0,200.0,0.0,0.0,0.026196056976914406,200.0
2.0,200.0,0.0,0.0,0.001445717760361731,200.0
3.0,188.0,1.0,1.0,0.6050093173980713,9.0
4.0,200.0,0.0,0.0,0.06062215194106102,200.0
5.0,150.0,1.0,1.0,0.5733901858329773,11.0
6.0,200.0,0.0,0.0,0.0019245975418016315,200.0
7.0,153.0,1.0,1.0,0.6520238518714905,11.0
8.0,153.0,1.0,1.0,0.6520238518714905,11.0
9.0,200.0,0.0,0.0,0.0014245999045670033,200.0
10.0,200.0,0.0,0.0,0.008583249524235725,200.0
11.0,160.0,1.0,1.0,0.5825765132904053,10.0
12.0,200.0,0.0,0.0,0.007012220099568367,200.0
13.0,200.0,0.0,0.0,0.03550541773438454,200.0
14.0,200.0,1.0,0.0,0.5194400548934937,6.0
15.0,200.0,1.0,0.0,0.5972658395767212,1.0
16.0,166.0,1.0,1.0,0.5796505212783813,11.0
17.0,200.0,0.0,0.0,0.00576056307181716,200.0
18.0,174.0,1.0,1.0,0.5932154655456543,10.0
19.0,200.0,0.0,0.0,0.003530287416651845,200.0
20.0,184.0,1.0,1.0,0.5011152029037476,8.0
21.0,200.0,0.0,0.0,0.001372385653667152,200.0
22.0,200.0,0.0,0.0,0.014975081197917461,200.0
23.0,168.0,1.0,1.0,0.553438663482666,12.0
24.0,200.0,0.0,0.0,0.0026612950023263693,200.0
25.0,200.0,0.0,0.0,0.003053845139220357,200.0
26.0,200.0,1.0,0.0,0.5350349545478821,6.0
27.0,200.0,0.0,0.0,0.01136609073728323,200.0
28.0,176.0,1.0,1.0,0.5590903162956238,10.0
29.0,200.0,0.0,0.0,0.003594428999349475,200.0
30.0,192.0,1.0,1.0,0.5058159232139587,12.0
31.0,151.0,1.0,1.0,0.5689293742179871,10.0
32.0,200.0,1.0,0.0,0.5544192790985107,7.0
33.0,200.0,0.0,0.0,0.04724801704287529,200.0
34.0,163.0,1.0,1.0,0.5405500531196594,11.0
35.0,174.0,1.0,1.0,0.5815098881721497,11.0
